"Genome","Substrates","n","Species"
"F1_NM4","alpha-glucan",22,"MB"
"F1_NM4","alpha-mannan",27,"MB"
"F1_NM4","alpha-rhamnoside",2,"MB"
"F1_NM4","arabinan",59,"MB"
"F1_NM4","arabinogalactan protein",46,"MB"
"F1_NM4","beta-fucosides",4,"MB"
"F1_NM4","beta-galactan",42,"MB"
"F1_NM4","beta-glucan",49,"MB"
"F1_NM4","beta-glucuronan",19,"MB"
"F1_NM4","beta-glycan",5,"MB"
"F1_NM4","beta-mannan",25,"MB"
"F1_NM4","carrageenan",6,"MB"
"F1_NM4","cellulose",6,"MB"
"F1_NM4","chitin",20,"MB"
"F1_NM4","chitosan",21,"MB"
"F1_NM4","exo-polysaccharide",4,"MB"
"F1_NM4","fructan",3,"MB"
"F1_NM4","glucosylglycerate",8,"MB"
"F1_NM4","glucosylglycerol",8,"MB"
"F1_NM4","glycogen",9,"MB"
"F1_NM4","glycolipid",5,"MB"
"F1_NM4","host glycan",61,"MB"
"F1_NM4","human milk polysaccharide",1,"MB"
"F1_NM4","pectin",29,"MB"
"F1_NM4","peptidoglycan",17,"MB"
"F1_NM4","polyphenol",19,"MB"
"F1_NM4","porphyran",3,"MB"
"F1_NM4","raffinose",5,"MB"
"F1_NM4","starch",20,"MB"
"F1_NM4","sucrose",16,"MB"
"F1_NM4","trehalose",8,"MB"
"F1_NM4","ulvan",1,"MB"
"F1_NM4","xylan",74,"MB"
"F1_NM4","xyloglucan",24,"MB"
"F3_NM6","agarose",4,"MB"
"F3_NM6","alpha-galactan",7,"MB"
"F3_NM6","alpha-glucan",9,"MB"
"F3_NM6","alpha-mannan",11,"MB"
"F3_NM6","arabinan",22,"MB"
"F3_NM6","arabinogalactan protein",12,"MB"
"F3_NM6","beta-galactan",13,"MB"
"F3_NM6","beta-glucan",21,"MB"
"F3_NM6","beta-glucuronan",7,"MB"
"F3_NM6","beta-mannan",8,"MB"
"F3_NM6","carrageenan",4,"MB"
"F3_NM6","chitin",16,"MB"
"F3_NM6","chitosan",7,"MB"
"F3_NM6","exo-polysaccharide",8,"MB"
"F3_NM6","fructan",2,"MB"
"F3_NM6","glucosylglycerate",6,"MB"
"F3_NM6","glucosylglycerol",6,"MB"
"F3_NM6","glycogen",7,"MB"
"F3_NM6","host glycan",48,"MB"
"F3_NM6","human milk polysaccharide",4,"MB"
"F3_NM6","pectin",15,"MB"
"F3_NM6","peptidoglycan",18,"MB"
"F3_NM6","polyphenol",13,"MB"
"F3_NM6","porphyran",4,"MB"
"F3_NM6","raffinose",2,"MB"
"F3_NM6","sialic acid",4,"MB"
"F3_NM6","starch",12,"MB"
"F3_NM6","sucrose",10,"MB"
"F3_NM6","trehalose",6,"MB"
"F3_NM6","ulvan",1,"MB"
"F3_NM6","xylan",24,"MB"
"F3_NM6","xyloglucan",19,"MB"
"H11_NM74","agarose",3,"MB"
"H11_NM74","alkaloid",4,"MB"
"H11_NM74","alpha-galactan",14,"MB"
"H11_NM74","alpha-glucan",22,"MB"
"H11_NM74","alpha-mannan",27,"MB"
"H11_NM74","alpha-rhamnoside",2,"MB"
"H11_NM74","arabinan",59,"MB"
"H11_NM74","arabinogalactan protein",46,"MB"
"H11_NM74","beta-fucosides",4,"MB"
"H11_NM74","beta-galactan",42,"MB"
"H11_NM74","beta-glucan",49,"MB"
"H11_NM74","beta-glucuronan",19,"MB"
"H11_NM74","beta-glycan",5,"MB"
"H11_NM74","beta-mannan",25,"MB"
"H11_NM74","carrageenan",6,"MB"
"H11_NM74","cellulose",6,"MB"
"H11_NM74","chitin",20,"MB"
"H11_NM74","chitosan",21,"MB"
"H11_NM74","exo-polysaccharide",4,"MB"
"H11_NM74","fructan",3,"MB"
"H11_NM74","glucosylglycerate",8,"MB"
"H11_NM74","glucosylglycerol",8,"MB"
"H11_NM74","glycogen",9,"MB"
"H11_NM74","glycolipid",5,"MB"
"H11_NM74","host glycan",61,"MB"
"H11_NM74","human milk polysaccharide",1,"MB"
"H11_NM74","pectin",29,"MB"
"H11_NM74","peptidoglycan",17,"MB"
"H11_NM74","polyphenol",19,"MB"
"H11_NM74","porphyran",3,"MB"
"H11_NM74","raffinose",5,"MB"
"H11_NM74","starch",20,"MB"
"H11_NM74","sucrose",16,"MB"
"H11_NM74","trehalose",8,"MB"
"H11_NM74","ulvan",1,"MB"
"H11_NM74","xylan",74,"MB"
"H11_NM74","xyloglucan",24,"MB"
"H12_NM75","agarose",4,"MB"
"H12_NM75","alpha-galactan",7,"MB"
"H12_NM75","alpha-glucan",9,"MB"
"H12_NM75","alpha-mannan",12,"MB"
"H12_NM75","arabinan",24,"MB"
"H12_NM75","arabinogalactan protein",12,"MB"
"H12_NM75","beta-galactan",14,"MB"
"H12_NM75","beta-glucan",23,"MB"
"H12_NM75","beta-glucuronan",8,"MB"
"H12_NM75","beta-mannan",9,"MB"
"H12_NM75","carrageenan",4,"MB"
"H12_NM75","chitin",17,"MB"
"H12_NM75","chitosan",8,"MB"
"H12_NM75","exo-polysaccharide",8,"MB"
"H12_NM75","fructan",2,"MB"
"H12_NM75","glucosylglycerate",6,"MB"
"H12_NM75","glucosylglycerol",6,"MB"
"H12_NM75","glycogen",7,"MB"
"H12_NM75","host glycan",51,"MB"
"H12_NM75","human milk polysaccharide",4,"MB"
"H12_NM75","pectin",17,"MB"
"H12_NM75","peptidoglycan",15,"MB"
"H12_NM75","polyphenol",14,"MB"
"H12_NM75","porphyran",4,"MB"
"H12_NM75","raffinose",2,"MB"
"H12_NM75","sialic acid",4,"MB"
"H12_NM75","starch",12,"MB"
"H12_NM75","sucrose",10,"MB"
"H12_NM75","trehalose",6,"MB"
